Comments,sentiments
"Otilo beyen mehn..Black women are in high demand for kidnappers in the western world. They use their bodies for sexual, psychological & scientific experiments.  And since black women are the first humans on planet earth from which men mutated from & the birther of all races of men, any experiment that works on her can work on all women of all races...And since black men have been emasculated by this current system and cannot protect their women then other races can use her to enhance themselves economically, sexually, scientifically & genetically..Can white women get kidnapped in any African country without Europe or America intervening? Now you see More kidnappings to come, no be today dem dey kidnap black women for west lol 😂..As a matter of facts some cabals in the west kidnap black women for the sole purpose of rigorous sex &  cannibalism.....They f*ck them to coma and then quarter they bodies for consumptionA lot of black women love the west cos of it's enticing systems, women-friendly laws & eye-catching structures but these are for the white women not for black women..so many black women are suffering from the illusion of inclusion.. you're not included but you trying hard to act & feel like you are ..and in doing so they use you against your own men lol ...You see many black women in Europe & America who don't wanna associate with black men they wanna follow follow white guys everywhere giving they bodies to them cheaply...but play hard to get with black guys ..Make them continuu... 😆",negative
With that your yeye breast wey don fall na him you wan carry two old men? As yahoo boys don take everything good about you do rituals na Old men go come dey chop the cadaver wey remain?,neutral
"Shey you Dey see the backward mentality of abokiiiFour wives for a 22 year old keke rider with no, in two years time he will be father of 4 or more with no vibrant means to take care of such large mouthThey could not offer him land for farming or something more valuable, na punnani dem wan take kill the young man",negative
"We need Israel in Nigeria,na Dem dey fit deal with these Islamic bastard!!!Death to all terrorist.",neutral
What's really wrong with APC GOVTNa dem still say go courtNa dem still dey cry all over,negative
He come be like say na only female Guinness world record holders Dey make am😀,negative
"Yinmu      the Nigerian army said more than this in the last general electionIt was the worst result recorded so far in the history of this countryRight there in your presence, them dey carry ballot boxes, all you need is stipend, that's all   corrupt pipu",negative
"To butress the op, Nigerian men lacked empathy. Empathy ll place them in the position of not questioning a lady that they are dating or married about finances, gifts, sex etc.They don't realise that relationship is responsibility. They ll say what your father can't give you, you dey ask from me.Why you come toast me (woo)?As I come gree, am I not entitled to your resources?They also lacked empathy of hurting their wives or female partners deliberately with cheating. They don't put themselves in women's shoe that how ll I feel if she's the one cheating?Abeg make I no tok talk in order not to be misquoted. 😂 😂  😂😂😂😂😂💕💕😘😘😘😘😂The violence is needed for cleansing of the minds of the reprobate dirty boys here that can't feed themselves but talk anyhow here against females.",negative
If soludo win second term make i know say people of Anambra state no dey reason well.Grammar professor.,negative
Money dey naija we know,neutral
Dem dey learn,neutral
Which kind wahala be dis? Even di small dividend I dey use manage myself dis 2 big f00ls wan scatter am for me,neutral
"How can 25k monthly reduce poverty? Once them buy one quarter sack of rice, 2 painters of garri, 10 liters of fuel to be used for 3 days at 3 liters per night  for 2 and 1/2 hours each, as lighy no dey contant Just see how APC Institutionalize poverty",negative
"Enemies of the country will still wail and gnash their brown teeth.Aka, children of frustrations and hate.Nothing makes them happy in life.Nigeria will be great in our lifetime whether the evil ones like it or not.Welcome on board Chairman. ************     ************       ***********zombieHUNTER:That's a thief forget We never pack oracle commot for ground....Our forecast don dey happen.Tueh.......Na dem",negative
Uk sends military support to Isreal Uk sends aid to survivors in occupied Palestine.Na zombie Dey get faith in the west and their propaganda media.,neutral
"All eyes on the Judiciary don dey tire you already?No be una say you dey challenge the process?Labour Party dey follow process, so tey person wey work for PDP dey collect reward for Labour Party?All the illegitimate candidates should learn from Tinubu on how to reap reward from honest labour.",negative
Omor This guy get morah ooSee mind nwGod abeg bless all legit hustlers abundantly make we get excess money wey be say we go fit dey make this kind strong choices. God abegeth thee.,positive
"Afrobeats superstar, Davido has begged fans and netizens alike to stop circulating old pictures.Recall that recently, there has been speculations that Davido had welcomed a set of twins with his wife and heartthrob Chioma.Many notable celebrities and fans had taken to social media to congratulate the artiste on his new bundle of joy especially after he lost his son, Ifeanyi.However, today Davido took to Twitter platform begging the public to desist from posting old pictures, which leaves many wondering if the news of the birth of twins is true.Davido pleads with public to stop circulating old pictures Nigerian musician, Davido.See Netizens reactions:@Uncle_sarm said: And people don give the twins name already o@_VALKING said: Me and Seyi Shay don know since June, but let them keep posting@elvis_osawe wrote: No be you go tell us what to circulate Senior man.@adu_faye said: Share us the current pix boss, let’s celebrate with you🙏🏾@damilola069 wrote: Especially that chioma fake Acct here , how he Dey get her pics na God know@laurentdarl said: Is this you debunking the news",negative
These men are not supposed to be taken serious anymore Everybody dey hustle for daily bread,negative
"Can you imagineThe routine check wey no dey work for NorthIf it does, why do we still have the sponsors of bokoharam walking freely",negative
😂😂😂Make I just dey laugh...,neutral
"Abeg...how una dey get this millions millions jobs?Show us way oo, what are the qualifications required?",negative
It's a bad week for Obidients.Them just dey collect from all sides.,negative
How many GB ram   I won buy am because my phone battery too dey run down quick,neutral
KaiWahala no dey finish,negative
"I hate girls that are too into artificial beauty and body, if as a man I take you home to do kerewa then discover this I will just kick her out that’s the end I nor like make person dey whine me",negative
The president will not even try that. If he does na wahala he dey find for hinsef.We no dey military regime. The executive alone does not have the power to do that.,negative
From AbokiFX now na Diaspora Remittances dey weaken nairaI beg make we break this this country so Ebola & Boko Haram commander can rule you as they want.,neutral
Damnnn niggar Hahah Nigeria politics You see am say our politicians are neither here nor thereNa we masses dey use tribalism ruin ourselves that is why our politicians have the balls to misbehave,neutral
As evidence no dey! U go Explain tire,negative
Well nothing wen dem dey sing again these days.Na just noise and panpangolo and dem dey cash out.Well their audience self be like dem.,positive
Na the question and answer wey dey the rapper na him I dey always check.,positive
"LolSimon Ekpa was dancing to Asake ""na money I dey find"" while sipping champagne or wine earlier on todayhttps:///ONsogbu/status/1712363339903324533?t=ojcpflInrmXFs3gJ92Tzxg&s=09",neutral
"After 47 years! fu*K....that's almost 20 years before I was born oooo.....Blacks really suffered from the hands of these white folks....Guys abeg fear women ooo......dem still dey finish man even after fourty seven years....Dem don finish Greewood, na Anthony own remain now.... the world no dey hear the man, na woman dem dey hear...immediately woman talk am like this, na truth be that oooo...so, y'all should be careful!And again, stay away from spiteful ladies....wey no dey allow things go easily",negative
"They all are!Truths9ja: what do you mean here? David o, samklef o, tunde ednuts oo. Rivalry & caucus of a thing... Mohbad matter dey joined with all these but David is stylishly taking side to shad samklef cos of the face off between Sam & Ednut... samklef should have jus ignored greeting David but childishness of running Blogs .Wujio:Stop smoking weed Stop buying LITE DATA packages,  so u can surf net more to read news well",neutral
The grass cutter still get mouth to dey talk. Dem go resurrect your matter very soon.,negative
Which one dey useful before abeg na all,neutral
"So sorry about that. No worry, God dey arrange better one for you. I can't advice anyone to buy a tokumbo Corolla or Camry now and give out on hire purchase to a random driver that does not know how financially painful it is to buy those toks vehicles now. They are very likely to messing up your car for you within 4 months of handing it to them. By the time you might want to sell it, you might end up begging buyers to buy it for half the price you bought it. That's how terrible some drivers are.",negative
rivers state no get highly educated people....omo some people dey reason. Wike go demolish more illegal buildings nothing go happen. Rivers state get highly educated people/streetwise people combined nothing still happen to wike.,negative
WITH THE WAY PITOBI DEY WAKA GO EVERYWHERE LIKE MASQUERADE WEY DEM DEY CARRY FROM VILLAGE TO VILLAGE DURING NEW YAM FESTIVAL.....E DEY VERY OBVIOUS SEY THE PIKSURE NA AUTHEN,neutral
so e for dey fictional?,neutral
"Bomb everything to pieces. That's where they teach them terrorism 101 up to 403.If only we exert same force to the terrorist Boko Haram Fulani herdsmen, ISIS, ISWAP UGM etc. This country for dey breathe normal by now. But tribalism and sabotage won't allow it to see the light. So pathetic🙁🙁🙁🙁",neutral
He dey rush he be much,neutral
Oil Oil OilThat’s the reason why South South isn’t given the SE treatments in Nigeria But we South South dey think say na loveMake South South oil finish and watch how the rest of Nigeria will treat us more worse than South East,neutral
No dey shalaye to me .The history is on Google for all to read .I dare you again to go to Ilorin kwara state and tell a fulani man to his face that Yoruba own Ilorin and see what becomes of your head 😂😆😂,negative
I see no reason why most of these obidients are pessimistic! The portal is still being populated and the synchronization of the device is incomplete yet.We are not yet at that level we put our technology as regards election!Anyways I see APC raping LP in Imo!In Bayelsa It's PDP terrorising others!While in Kogi its too dicey but between SDP and APC!Can't believe ADC too dey throw Punch!,negative
As me for just have a job and don't leave the whole bills for me to pay. Any other problem we go dey solve am....,negative
"Expect to see it in Nigeria come January. Money dey this country. Illegal, stolen money ṣef join.",neutral
"You are telling me, a mechanic, your medical condition. Well, na gist we dey gist. When you are ready go to the hospital",positive
I HAVE BEEN THINKING ABOUT THAT SINCE THE REPORT OF THIS ATTACK.Two things are involved.Either it is a MOSAD operation to have reason to decimate Palestine - using the life of few citizens to sacrifice   or the iarealis don dey slack.i dont see the possibilty of the second - and am worried about the first cause it then means the stew they prepared for the palestine will a gorry bute.,negative
Labor dey play,negative
The real world humbles everyone. Dey play.,negative
Every body dey miss in action,neutral
The allottees wants to resell or rent it out. Everybody dey find money these days,neutral
"Na employees and those with unprofitable businesses dey japa.If you have a growing business, you grow big, diversify, move your wife and kids abroad while you keep making money here.6M is nothing if you get better business here.",positive
Lol you dey expect all head to be equal when you no dey abroad....,negative
"Good. But Nigeria continue borrowing, I don't even understand again. We have almost every resources on earth,but we no dey stop borrow borrow.I tire!",neutral
abeg shut up your dirty mouth. Bird of d same color. So if nah your brother girls dey scam. Will u say this. D guy no even do bad. If nah me i go carry her go expensive restaurant. Do u know what it means to a guy when stupid girls want to prove they are smarter. U are one of d idiot I swear,negative
As per the Lost tribe of Israel?Just dey play,negative
why would you want to kill your self over USELESS result that will not make you a millionaire . some people dey craze sha,negative
"You don't have time like seriously? Anyways I'm not surprised na because say na Nigeria we dey na a country where everything goes. Make Una continue and those supporting them too. Someone forged a certificate, claimed to attend a school that was not in existence and such an individual is sitting as a president, wow. This is definitely the height of failure and corruption. It's Nigerians I just pity, SEBI na Una wan japa. Wetin dem use Una eyes see fit the international stage especially when it comes to your documents, Una go see",negative
"When you dey chop am, you tell us?When you were having surplus budget, you should have created other streams of income. If your employer no create stream of income, you for no benefit. You sef create employment make society grow through you.",negative
Damnnn niggar Minimum review HahhaNext two years una the committee set up nor go conclude anything Make una dey play,negative
"“Let it not happen again, because if someone tries it again, he will be forced to beg for food with empty plates in the street.""Awon Mr Obi and his "" I no dey give shishi"" crew must recieve this memo ASAP. Let me run to give this memo to him and his cyberbullies and criminal defamers LP mob. Check my signature for free stuffs!",negative
Them dey form super star and models yet empty brains......simple current affairs questions they couldn't answer!,negative
.Dey there. The gods too don japa,neutral
"This Woman don give up on claiming victory at the Tribunal Court, She don dey see the Handwriting on the wall say Tinubu is her President till 2031. Period!!",negative
"This one has gone mad They are four, just four in this countryDubious characters, political contractors, any belle face human beings, millionaires without enterprise, very unstable and lots moreReno OmokriFemi Fani KayodeLauretta OnochieDeji Adeyanju",negative
Na everyday una dey repair this una bridge wey Tinubu built to Dubai standardHope say no be south south oil money una dey take fix this rubbish every yearParasites,negative
Who dey? Who dey talk dere?,neutral
But LP senator representing FCT said they didn't get anything.Make politicians dey fear God. In this crisis of pummeling poverty Una still dey collect leave allowance.Okay what do you people even want to sacrifice for Nigeria? So it's only the populace that shd bear all the hardship.God purnish all Nigerian politicians.,negative
Women only or lesbians only😏😏😏Una think say Una dey play us😏,negative
"Chidozie4847:Na them nah.i guess many where expecting to hear names like chinedu 🤣🤣.Omoawoke2:I can bet 1000% that an Igbo dealer is behind this Miracle2020:They never see anything, they voted for a deranged man and expect Nigeria to be better? No no noThe hungry wey dey Yoruba land eh, is unimaginable.gammarays:Another Agbado miscreant on the loose 🙄You guys are so sick and disgusting",neutral
"Some people dey hope say the price of everything go inflate so that dem go blame BAT.But make dem no worry, dem no be God.Rice is coming to 15k for 50kgGas 150/KgPMS #72/LitreUSD1=NGN1.25",negative
"The only thing wey pain me pass be say them no beat am well.Ajaero is a dog. He has since deviated from NLC mandate and he is now fully a LP politician.Tinubu should just implement “no work no pay” for any NLC worker that go on strike because of this nonsense. If a president don’t have the balls to stand up to this useless NLC leaders, they will soon declare strike because NLC president deek no stand to bleep his wife.They beat someone mercilessly in Imo, you dey call for nationwide strike. Where the bleep is the correlation? God bless Margaret thatcher soul, useless union member see shege for her hand.",negative
Oyel pipu don dey cryUna must go do another rally for Aso Villa,negative
"This one na show of stupidity. Mention one PDP person wey dey back Fubara that Wike has not defeated before?. Atiku na PDP most powerful man but Wike flog am for general election and still enter NASS election flog Atiku's candidates, put e own boys for minority positions. Wike waka enter Edo, for Oshiomole's backyard to fight for Obaseki to win. Na still Fubara dey hide when EFCC wan carry am for 70billion fraud but Wike give am protection. Fubara, pls don't be a fool, don't let headless mobs push you. Go and reconcile with your boss.",negative
Walk and out if you are tired na.... At least no b only u dey there,negative
https://www.youtube.com/watch?v=tTpJdlQo_EoPrison warder shamelessly reveals what he does to the food people send to prisoners 😲😥What a pity.#wetindeyhappentv,negative
"Well all I have to say is that if your a Nigerian and still actively follow David hundeyin, nnamdi kanu, Simon ekpa and their likes on twitter, I'm sorry brother.You've gone to the dogs as there's no recovery from that high grade level of self stupidity and intolerance.You beleive Buhari is cloned, beleived Tinubu didn't f graduate from Chicago and also observe Simon ekpa compulsory sit at home.It's a shame.",negative
"With where the Naira is headed, along with flying fuel price, there will be more layoffs before the year ends...!I'm still asking for the umpteenth time...Is the nation's security fully ready for what is coming??! We can't all expect hungry and frustrated youths without hope to just roll over and die... Wahala dey come o.",neutral
"That's Showbiz for You .... Omo ti Wo nu Aiye(World don carry am Go)  A poor being is never supposed to be in Monies Until You Have Maturities...... Money without Maturities dey Lost Brain ... It happens to Most People especially if its Awoof Monies wey u Never-Ever Hustle for like that ... You go Lost around ""Old Monies"" Except You have correct People around you.But If You follow the rope & Hard Routes to Knack Wealth, You will never lost it because the God of wealth would Have Cooked you Finish & Churned You Solid Before landing you the Goldmine.",negative
Them dey play.,negative
"If you no dey Abuja btw now till December you are missing. You and festacman are learners. It's time for Tinubu to fire back and drag Atiku too in public. And this time, Atiku may be over exposed. The election was won by who's more witty.",negative
"Yoruba Agberos have found their way in Abuja oooo  Seyi your father is the father of Street fighting,They are simply practicing g what your father taught them, the unfortunate thing is bringing the yoruba street fight pattern to Abuja.  Everything yoruba dey funny gaan!",negative
Trouble dey sleep yanga go wake am 😀Modified: The social media can make you and can break you,negative
"Almost all offices at the Police State Command has DSTV and GotvIt's Junior Rank, Rank and file that does the major workPolice wey dey use mad iphone drive better cars date correct girlsAll on their paltry salary.",neutral
"Na wa!! for you.This was a piece for logical reasoning, yet you still found a way and turned it to a mudslinging tribalistic challenge.What of the people that voted for the same candidate and are not his tribesmen, or the ones that also voted for the opposition irrespective of ethnic affiliation?It is time to move on from pettiness, the thing na everybody e dey touch.Don't be bitter.",negative
"Na person wey dey eat better food and nutrition dey get sweet thicker and higher sperm count. Hunger don finish people for naija, lower sperm count and sperm that is full of garri that's in abundance now",positive
"Hmmm, if dey don't grow wings.See those Outfit who later became thin bone in the THROAT, forgetting their Goals but scoring Escobar goals",neutral
Those that laboured in vain can keep complaining....that's what dey have been reduced to do,neutral
"If you can't give account on how money is being spent in your church, you won't see my tithe, shishi you won't see from me. You can't be collecting money from me buying private jets, feeding your family and claiming it's from your god...you dey mad!",negative
"How do I make international calls enter my phone? I need elevation. Make I dey cash out, no be scams oo",negative
omoh.........i dey normaly drink codein so dat i fit sleep.,
Everybody just dey do photo op with Mohbad death.,neutral
"Lp enLupee company u mean? We know who they are ATM, working class arm of a political party..  but guess the party n vibes gonna be on fr very long time. Music dey , floor dey, dance dey",neutral
Untop 2 secs video u come open mouth dey talk nonsense,negative
"Historians were right after all... Southeast people really gave Lord Lugard and others serious headache. From leaders and elders down to citizens, nobody dey hear word.",positive
"Okay, make u na dey calm down. We don't really want war but normalcy to return.Make u na dey calm down.",positive
Olosho nor dey payonly if these girls will listen,neutral
"On top paper... For some times nows, na so so secure these people dey secure but we never see or observe any move regarding the purported investment security. Nigeria no be defender or security agent o.",negative
phone wey no dey last ...dont waste ur money buy samsung,negative
Kwakwanso no even get time to dey involved,negative
We dey hia,neutral
"Country that is working with visionary leaders, not my dear Nigeria with visionless leaders, where the minds of average citizen have the potential of being stack corrupt.The f*ckin leaders won't see this achievement to give example of na to come dey tell us how fuel ⛽ is the cheapest in Nigeria hence the need to remove subsidy.Hypocritical leaders!!!",negative
"The Nigerian government under their wicked Military commissions thought they could absolutely crush everything about Igboland including  our potentials when they ceded several parts of Alaigbo to other parts of Nigeria, including the Oyel rich parts of Igboland; all to delineate and sap us from any mineral and natural resources. But GOD PASS THEM, in their haste to perpetuate wickedness they forgot Gas and Green energy will be the future one day, now the oil has brought more curse than good to Nigeria, Oyel isn't an attractive commodity on the global market anymore...na gas dey reign now and we have mega-tons of that sitting under the earth of Igboland, keep your oyel and drown in it while you impoverish the Niger Delta regions that own it...we will keep our gas and harness it for the sole development of Igboland.",neutral
"Ayam sorry but anytime i dey hear dis so called yam festival dey make me to laugh. But my question is, how is yam part of ibo culture?, did ibos discover yam?, is there no ibo word for yam?, why not use your indigenous language for the festival rather than English.",negative
Na the Northern States that border Niger go hear am. Scud missiles go dey land on them like rain..,positive
"I'm not surprised a bit. When we all thought that nobody would be worse than buhari in all ramifications not knowing that buhari is still learning work where Tinubu is.D type of politics APC and Tinubu are playing is so dangerous to any sensible human being.They are creating an antecedent that will destroy dis country.Buhari came and unleashed his brothers on d farmers (headsmen)Tinubu is here unleashing thugs, dividing every sector and opposition.Hope if by morrow another tribe enters and continue from where both stopped, nobody should cry.Now wey judiciary dey for their hand, if by morrow anoda tribe enter and put judiciary for en village Mak nobody cry",negative
"Lol 😃, We gat you sis.We will do that next weekend  No let them Osewa charge you for Rule 1 ooo.Him eye dey shook now.@topic,This disease is so effing painful",negative
The last time I checked I think Ronaldo has been forgotten.Na Miami dey trend now.,neutral
Not only mohbad law what about mohgood law When will directly or indirectly celebrate  Cultists and cultism don’t we know this will be the end product When we celebrate and frolic around wealth and money without asking for the source do we think the result will be different from what we see now Malian or naira Marley did not just stay today there was a time almost all the youth want to be identified as Malian u will hear things like Malian no Dey were belt and the likes when you celebrate cultism and drugs this is what you get The next evil is the celebration of fraudulent sources of wealth as against legitimate sources,negative
Wonderful  So MTV base n sound city still dey exist   I must be living under a rock,positive
"Lol, the report is just filled with professional jargons without communicating with the public what it's all about, the Thisday reporter sef just report verbatim, probably because e no understand wetin Dem dey talk",negative
Time no Dey.,negative
"Wow small yansh dey shake, just dey play.",negative
They keep inviting him for something not so important.They see Tinubu as a mediocre that they could push around because they know he will jump on it like a motherfucker seeking for validation.Imagine telling a president to leave his country and come and ring a bell?Is this what Nigeria have been reduced to?Is this not something that people like Tuface and Davido  were invited to do by the Nigerian stock exchange some years back? Why Dem dey yeye Tinubu like this na What a disgrace,negative
"Normally,if person go report to police about a suicide,the police go demand money before them go go the crime scene.See as them come dey do as if they care about life.Eye service.",negative
";De come be like say na only Sanwolu be the only governor in Nigeria, other than governors just dey like statue while their citizens are busy abusing the president",positive
This is sadIf no be handwork of devil wetin person peniss dey find for another person nyash wey shit full inside,negative
Naira Marley? Change? You're so funny. The way he'll mock em & laugh about it in his house ehn. Just dey play.,negative
"Na norms..U don break the ice..Na small, small..Shyness and timidity no Dey pay..I wish our parents, religious and educational system will acknowledge this fact..U will over come..U problem you are too in tune with ya mind..Na ya mind they make you shy..Bleep it!Separate ya mind from ya biz..",negative
".. Blike UK dey into comedy. Na today una sabi naija leaders? See the one they said is president now... Scandals everywhere.. He dey block everywhere, to ensure he is not exposed.. No be the looting part o.. Some mumu just still dey defend m,and they aren't getting shi shi o.. I call them fools .. They know themselves",negative
People wey nor first like school… nobody dey go school again for that family,positive
"Hahaha... una prick don dey stand because Babachair Lawal just carry am play small, una no get shame. Be like say una headless mob get memory loss, Babachir Lawal and Dogara na dem two been dey attack Jagaban after dem lose VP to Shettima, then dem decamp from APC, Dogara dey support Atiku and Babachir dey support Obi.. So, wetin Babachir dey talk that Charly boy no dey talk?, no be member of headless mob all dem belong?",negative
them ban okada in obosiOnly keke dey move there,neutral
Wetin dey always worry this hospitals 🏥 self?,positive
"Howfar, zamfara and Sokoto people dey watch this show of shame too",negative
This man just dey enjoy yellow pkekus anyhow,neutral
Lunatic dey form wokeLol,negative
"People have been impregnating their cousins for thousands of years. The rich do it to keep their riches in the family. Marrying within the family helped to prevent the division of inherited territoriesThe northerners do it to extend their bond.Marriages between cousins often served as a means to establish or strengthen political alliances between ruling families. and maintain bloodlines.This is not new, na una dey form surprise, check your Bible or Quran or your tradition history books, when the forefathers married, they took wives from their families not outside.Just like the rich are polygamous but you can't because you're poor.",negative
Everybody shal dey pay him own dues one way or the other.So when dey tax you before harvest you pay.The monster you all made,negative
"Oga, calm down ..how much were you paid to promote this BS?? We just dey recycle thievies,drug barons and transgender as leaders",neutral
Is Aisha from Abia ?Who made her spokesman for Abians ?Why she no locate her own state governor and ask him the same question ?Leave hypocrisy and that CIA recruited trouble rouser.Has that idiot ever voiced any critiscm on northern Nigeria ?Nah only for south she dey get mouth chook.,negative
No be just to notify them say you no dey perform again. You return the money abi you chop am?,negative
"Good.NiceBeautifulNow she can be on the street WHERE SHE BELONGS.How can a sensible father be proud of a senseless disgrace of a daughter like this?Dem go send una go school to study, una nor go study, na to dey do stupid challenge, do hookups, do OLOSHO and runs. Bastarɗs.I LOVE IT WHEN PEOPLE FACE CONSEQUENCES OF THEIR ACTION.ALL NA CRUISE DEM GO SAY, UNTIL YOUR CRUISE PUT YOU IN TROUBLE, CAUSE YOU TO BRING SHAME DISGRACE TO YOURSELF AND PARENTS.I JUST SO LOVE IT WHEN STUPID PEOPLE LEARN THEIR LESSONS THE HARD WAY.",negative
Oriokpa Nsukka  Be like you no sabi say na person village you dey and there are traditions there.Dey form hard man till you collect form boiz.,negative
this one dey type go yaba left.,neutral
All d money wey dey lost for dis country ehn if e lost for another country.. D people 4 dat country fit go extinct,negative
Dey whine yourself Last last nah APC dem go still declare winner Trust Inec at your own peril,negative
I pray he is found safe and sound. The police should start their investigation from the family; the person that sold him out is likely very close to him.Na rat wey dey house de tell the one wey dey bush say fish dey for house.,negative
Dey playCarry gun and join Hamas to fight Israel. Ewu,negative
"Nigeria moving towards dictatorship because your agulu packaged fraud did not win? You claimed your party won the presidential election as opposed to what inec announced, now tell us how you won, you couldn't, you must be a raving lunatic. Your packaged fraud won, no evidence, no proof, not even number, nothing nothing, you just won, mbok, na so dem dey win election? Or you think the inconsequential social media noise is what the courts should base their judgement on? Insult and curse all you can, your party lost and lost very well, no amount of intimidation or social media bullying can change that. If you like, instigate any civil disobedience, that time, you will know how stupid you and your handle mops are.",negative
Dem deck mama chair for head.... Hunger dey town everybody dey vex.... Commissioner suppose be like minister for state level now.... Wetin come cause all dis stuff.... Dat man go do jail oh... Eno fit escape am,negative
Christians will say God looks at the heart not the body!Can a lady wear only G-string under micro skirt and short crop to church?No!Shebi Jesus dey look only heart not outside body!Plaiting hair is effeminate and only cuckold/LGBTQ guys would embrace it!And our culture frowns at it.,negative
"It’s a game Jor. Using pity party to curry votes is BS.Them force her go the house? If she must, let her keep standing up for herself and play the game like every other person.If the house is too thought for her, she can ask for a pass to leave… no be by force.Na her sharp mouth make wey dem dey bully her anyhow.",negative
"if you mean without the victim consent, dey play..",negative
"Dey play. It’s an illusion, paying monthly is the way to go",negative
Una dey play shey?Na marketers go determine the final price. Those guys greedy no be small.,negative
