text,Sentiments
"I used it ONCE to make a nice pound cake. I followed the directions EXACTLY as printed on the box. It came out HARD, DRY & DISGUSTING!!! I tasted it, GAGGED, & threw it in the garbage. Thanks, BETTY CROOKED, for my embarrassment - having nothing to serve my guests for dessert, wasting my time & money on your box of rock- hard inedible GARBAGE!!! I will NEVER buy anything again that has your name on it because only TRASH comes out of you!!!!!",negative
Good morning I opened the 22 ounce Badia chia seeds today and there are LOTS of bugs moving around in the container. I read where this product is not eligible for return. I would appreciate a credit returned to my card. Thank you in advance for your cooperation. Sherri,negative
Perfectly sized portion.i live alone and always ended up throwing away half cartons of milk but this product is sustainable in the pantry before use and it ends up saving me money in the longrun!,positive
I love the big bag. Love the taste. Will order again,positive
"with cheese, spread, or alone. Very thin but surprisingly capable dipper - takes a lot to break these things. Light flavor so they go with anything and will not overpower what you put on them.",positive
"The cauliflower snacks are super crunchy and satisfying. Little pricey but I like the cheese flavor. This is a delicious snack, I just wish the bag had more in it. It's ridiculously addicting.",positive
Love the fact that it's sugar free and love the crunch when I first pop them into my mouth.  The flavor lasts too.,positive
Nice tin,positive
"[[VIDEOID:4edf9c94446103474d21e917d82d3a88]] I am a traditionalist when it comes to food. I survive on the basics, and add in new items from time to time. This is NOT something I would have bought without some outside influence.*However, it's a simple and tasty addition to your meal. I had it with chicken and biscuits. Very delicious flavor and good texture.",positive
"One of the bags came opened as seen in the picture and smelled terrible! The others in the box were fine. Too annoying to return, but won’t be buying again.",negative
I use this as part of my chipotle mayonnaise mix. The flavor is amazing.  It elevates the paprika spice to a wonderful level.  Very flavorful as it marinades itself into the mixture.  I put this on steaks and chicken from time to time with great success.,positive
"Love these olives, grown in my hometown, CA",positive
"They are dry (like, extremely) and don’t taste good. Probably stale! Don’t buy. Threw them to the trash.",negative
Incorrect information,negative
My husband's FAVORITE! best tea ever :) easy to use.,positive
"Liked this tea so much when I tried the single steep that I decided to get a canister. Really nice flavor, none of the grassiness found in many green teas, with pleasant but not overpowering fruitiness in both aroma and taste.  Will definitely purchase again as my green tea of choice, as I try to mix up the types of teas I drink each day. I just wish I could buy this tea and several other favorites as Single Steeps by themselves and not part of collections for traveling. Please consider that, Tea Forte!",positive
This is the best coffee I have ever tasted and would highly recommend it to everyone,positive
"I'm not a picky eater, especially when it comes to healthy eating, but this doesn't taste like coconut, which would be okay, but this really tastes disgusting. I can't even recognize what it can possibly be made of because nothing in it tastes like the ingredients listed on the package, except for cocoa. Have you ever tried raw coconut? There's not even a ghost of coconut in there. My husband eats everything, but he couldn't even finish one piece of this and spit it out. I want my money back.",negative
These are awful!!,negative
Wound purchase again,positive
Best stuff ever!!!!! Nice to have low carb snack that's like a chip but lots of flavor !!,positive
"I am very partial to strong black teas, and this is some of the best I've ever tasted. Whatever varieties are used have been blended to perfection. A strong great tasting blend.",positive
It is great coffee and the price was awesome,positive
Good Buckwheat.,positive
"This is the best deal on amazon. It tastes like other brands of grechka. Sometimes the packages come open in shipping but it hasn't been a big deal for me, the groats stay in the shipping box regardless. I will keep buying this brand as long as the price remains a good deal.",positive
My kids love freeze dried fruit and I’m impressed with the quality and size of these bags. They are the perfect snack.,positive
"I have searched the grocery stores for months, and finally got the bread machine yeast, which is a finer yeast. I find the rolls I bake using this yeast turn out very, very light and the rolls shred apart, not spongy or compact. Glad it was in stock.",positive
Great bread alternative,positive
Nuff said.  Lovely!,positive
We love this popcorn. No kernels and always fresh and tasty,positive
"It was a gift, but from what I saw it was perfect and all the snacks were enjoyable!",positive
thanks for the feedback everyone,positive
", a 74 is not 'quite alright'!  on the plus side, I ate cinnamin toast crunch for breakfast, and am now eating strawberries.",neutral
LOVE this bottled water!!,positive
Kids didn’t like the texture since “the middle is still there”! They only want to drink the juice.,negative
I use this product in food recipes.,positive
I almost prefer these over normal caramel candies. They are AMAZING!,positive
"They taste great. Pricey, or I woul order more of them at a time.",positive
They were on steal on price and great product,positive
"I am 69, I  remember real Postum, i still have some real POSTUM.This is fluffy flakes, real Postum is granular, like ground coffee.real postum is robust, full of roasted flavor, unmistakable, unforgetable.this chemicle synthetic is absolutely a wasted failure, i want to take over this effort and fix it personally.This world without the original production method of the original factory Postun has lost a flavor as big as Christmas.rrc143",negative
not sealed.Packaged 2020 expire 10/23 Smells aweful!!!  On top of it NO RETURN POLICY!  DO NOT BUY!,negative
"I've been using this powder for a couple of weeks now, and I love it. It tastes exactly like regular peanut butter. Yum!",positive
Just breathing lightly after you shake it out makes you cough and your eyes water.,positive
Why are you reading a summer sausage review? Go buy some and eat it right now. YOLO!,positive
"These donuts have a very good flavor, especially the orange donuts.  I don't buy anything else, if I can find them.",positive
"I found this and decided to try it with great fear and trepidation. How could it be any good.  But I am no cook and I am alone and I like tacos. Well I tried this and it tastes just the way I love tacos. I add lettuce, tomato, low fat sour cream and shredded cheese, wrap it in a soft taco, and it's just perfect for a quick, tasty meal. I keep the ingredients at the house to make sure I'll have a meal ready in just a few minutes.",positive
Great on salads or foods with an Asian flare,positive
"Sweet treats, great for  kids and friends",positive
"This bacon is a game changer for me. In the constant quest to eat healthier, lose weight, but not sacrifice yummy food, this chicken bacon is a happy find. I use many Alfresco chicken products, but the bacon just recently became available. I've tried so many turkey bacon products but they have always fallen short of tasting like real bacon. Finally a poultry bacon that doesn't have that weird poultry/turkey taste! This tastes like REAL bacon. You pop it in the microwave for 20-25 seconds or so and out comes delicious, salty, bacony bacon. The slices are similar to thick cut bacon and you can enjoy 2 meaty slices for only 30 calories! I use it for breakfast, in recipes, on salads ~ anywhere you'd use regular bacon, this will work.",positive
I purchase a Pandoro every year for my sister's mother in law.  She said this is the best one she's every had.,positive
I LOVE the single servings of elf grahams! I use these for my childcare business!  What an absolutely convenient item!,positive
These are delicious! And relatively low carb--11 g per 5 pieces. The problem is you will want to eat the whole small bag. I got these today at Big Lots for $2.50 a bag!,positive
"I LOVE this ghee. I've been using ghee for years and this is by far some of the best I've ever used. Discovered this last year and have been using this one ever since. Throw this on your popcorn, cook your salmon in it, or anything else you would use butter with. The fact that its grass fed is great, and I'm proud to support the ownership.",positive
My Friend takes chemotherapy and this candy helps Him with the bad mouth taste He get,positive
"I love spicy foods, especially Jerky.  This had great flavor, texture and heat!",positive
Great product. I would suggest that it is really something to be used in a good French Press.,positive
Thought these would be good stocking stuffers and was surprised by how very small the bag is. Be aware of the fact that it's ONLY a 4 ounce package before ordering!  Should probably have gone to a store and bought 3 or 4 times as much for the same price.,negative
My favorite GF oatmeal - won't eat anything else.  Also great on the go!,positive
"I tried this coffee based upon reviews thinking that I would get coffee with a unique taste. The instant coffee in Ivory Coast and West Africa in general tastes more robust and has more kick than this.Unless you have some sort of nostalgia due to the brand, I would not waste my money on this.",negative
"I remembered the licorice I used to eat as a kid, so I went out looking for Callard and Bowsers to find they don't exist any more.  This is the same exact wonderful licorice!  Outstanding flavor and texture.  Watch out for your fillings.",positive
"I ordered this because I love the versatility of smoked paprika when added to various dishes. This had absolutely zero “smoke” taste or aroma. In fact, it’s more peppery. I think they got there batches mixed up because I would classify this as “hot” paprika, than smoked. Very disappointed.",negative
Good and very clean tea.Flovor also good too.,positive
Dark roast was way too strong. Coffee was undrinkable,negative
"I picked these up in my local market and I'm really disappointed. I've always liked the Slim Jim brand sticks, but these have almost no flavor. The closest I can compare them too is cheap Vienna sausage, except dried. I hate Vienna sausage.Buyer beware.",negative
fast a solid,positive
Love this stuff but only 1 came instead of the 6 promised!,negative
Nothing wrong with a little Hair Stop in the morning keeps the nose clear and any mail as you feel in your throat or lungs and pretty much Sue's it out and it's nice and relaxing and it's great and I will be ordering,positive
"A lovely coffee. Strong and aromatic. Although it's finely ground and best suited for a drip machine, I have used it quite well in a French press with very nice results.  It makes an excellent cup of coffee for any occasion.",positive
"This is the best garlic hands down.  Very flavorful, no chopping and I love that its from California.  For me it is well worth the price.  And yes I received 2 jars.",positive
Twisted,positive
Excellent product for a reasonable price that goes over big with both kids and adults.,positive
great product-no artifical after taste,positive
"This is the tastiest, spreadingest jelly ever!! It’s wonderful!! And no added sugar. You’d never know.",positive
These taste just like real brownies and are very quick and easy to make.  I use coconut oil instead of butter so I don't have to melt it first. The walnuts add a nice little crunch. The net carb count is very low because of sugar alcohol content not listed on the nutrition label.,positive
Great service from seller. Awesome chocolates,positive
Great Product. Tastes like real coffee,positive
Great variety and they are really good! Found some favorites for sure!,positive
"This is the first time I've used avacado oil. Got it because I heard a couple people mention that it has a high smoke point and burning oil in a recipe is a disaster. It has a mild flavor and worked really well with cooking. I'm thinking it would be fabulous on salads. Glad I ordered it, so much so I've put it on my subscribe and save.",positive
"There is NO uniformity to the ""cubes,"" and many of them are just very small balls of sugar.  This is not a product that I feel comfortable with presenting to my guests.",negative
Great product love how it bakes up,positive
I became addicted to these and this pack is so delicious for a good amount.,positive
"Who’s at fault, AMAZON or LAYS?!Disappointing to receive shipment that expires within 16 days. I just set up Auto Ship for every 2 months. IF  EXPIRATION DATE is again that close to date received, product will be returned and AS canceled! I see others complain but I see NO response, why is that?",positive
Tasty spice drops at excellent price.,positive
We sent our three grandchildren the 'I Love You'  Valentines X-tra Large Lollipops  They thanked us on a FaceTimed call.  They were excited about how big they were and how every lick was yummy.  The individually bubble-warpped lollipops got them there in one piece.,positive
I didn't like them I tried to eat one and since I couldn't eat it I'll turn around and gave it away,negative
"You can't buy these in any grocery store in my area, so it's nice to have found them here on Amazon.These are awesomely good-tasting hard-candy mints.Strong and clean.Hard to find good mints these days,",positive
This is got to be the best rich flavored coffee out there. It's not bitter but full bodied. Great price,positive
entire family loves it-- extra stars for no sugar added and no soy!,positive
I used the vinaigrette to clean the coffee machine,positive
My sister sent me a bouquet of roses and another kind for my birthday and they arrived fresh and ready to put in the vase.  All buds opened and they are still doing great one week later.  I highly recommend Benchmark Bouquets.,positive
I m pregnant and at the very beginning of my pregnancy I knew something was wrong with every other brand of potato chip out there.  They left a horrible after taste in my mouth and if they didn't they were so stale tasting of stale oil.  THEN I saw this brand at Kroger's I grabbed them after a quick check at the ingredients.  The best decision I have ever made.  These chips are so good and fresh they are never in stock at my local Kroger nor natural grocers.  I had to order them off Amazon and found this is the best price for them.  Get them off Amazon for better pricing,positive
If you like Liquorice Please Buy those !!! The Flavor is Unbelievable ! I am Addicted :))),positive
Flavor is great and has a good amount of sweetness for not having sugar. Great for guilt free sweet craving satisfaction.,positive
"Way too ""thick"" and hard to chew.  The taste is good but takes too much energy to eat.  Will not buy them again.  I realize this is a local issue, so your experience might be different depending on your location.",negative
My husband eats these high protein bars for breakfast.  They are his favorite and most stores only sell them individually in our area.  He finds they keep him satisfied until lunch.  Plus can't beat the price.,positive
My guys have tried all different coconut waters there are. This is the one they really choose hands down over any others. It’s not too sweet but very flavorful. They take this drink when they play golf or soccer. It’s really refreshing and helps keep their electrolytes up.,positive
I love sardines and most are pretty good. These are by far the best I have ever had. I will be buying these regularly.,positive
Not much fruit for the price.  Taste of most was ok.,negative
"This stuff is good.  I ordered it when I noticed there was a coupon for $5 off to take advantage of trying it.I've sautéed chicken with it, put it on frozen pizzas, mixed it with jalapeño ranch for salads, mixed it with store bought BBQ sauce for thickness and a bunch of other stuff.A little bit different taste than that of Mike's Hot Honey (the presumed popular product) and its a good one.  I thought it might be a little hotter than Mike's considering it's made with reaper peppers, but it's got a good flavor and isn't overpowering.Will most definitely be looking at Fuego's other products in the (near) future.",positive
"These are the best chocolate covered caramels you will find.  And this price is reasonable.  They arrive quickly.  My only negative is that because they are in a big plastic jar, by the time they get to you they have banged around during transit and no longer look perfect like they should.  They are still outstanding and I highly recommend them.",positive
"I am a tea connoisseur. I worked in a very upscale tea room. By far Harney and Sons produce the exceptional teas. I’ve had their white tea, holiday blend, oohlong tea and many others. I’ve also been trained by a Harney and Sons representative tea master on the different varieties. This, by far, is the best. With hints of vanilla, it is great not only as a hot tea but as an iced tea. I highly recommend the Paris tea.",positive
I have not used the product yet but wanted to get a review in because the sender got it to me earlier than I was told. I always like it when the provider gets it to me sooner rather than later.,positive
425 for almost an hour  yum,positive
This was disgusting. The the pumpkin pie spices were way to strong. It was very thick and left a film in my mouth,negative
I like them because it keeps my sugar cravings in check.  Please get some more or tell me where I can get it.,positive
Product arrived on time and granddaughter enjoyed them,positive
Seal broke,negative
I ordered the best quality bean for my first batch of vanilla extract.  I will probably go with Grade B for my next batch but I am very pleased with these.,positive
"This is delicious, smooth and easy to work with. It’s a forgiving espresso - anyone struggling to pull a decent shot will understand, and appreciate that.",positive
Horrible taste. Packaged 2021 and expiring June 2023,negative
The Wilde Brands Premium Lean Meat Snack Bars are the best I have found. I am partial to the Maple Bacon Blueberry flavor. These are a great snack for me after exercise. I like the Wilde brand better than any other meat bar that I have tried. It isn't as greasy as so many of them are.,positive
Great tasting cookie that the grandchildren love.,positive
I never would think that I would describe sugar as Beautful but this sugar is special! The packaging is delicate and fancy. The freshness was amazing and it made my cookies come out wonderful! Adding it to coffee is also a Delightful  to your palate! Highly recommend!!,positive
This was delicious after cooking it in a Zojirushi rice cooker. I like the chewy texture. Did not find any worms.,positive
not quite a jerky,negative
I threw each one away after trying them.,negative
"Love, love the flavor. As I watch the flowers open I feel the tension melting away.",positive
A Good bittersweet paprika - not the best but better than most. I've bought several times,positive
"This is probably the best tasting coffee I have ever made in a Keurig.  It doesn't break the bank either, I will definitely be buying more of this!.",positive
"The tastiest bbq sauce I've ever had. I use it very often for non bbq meals, also. For instance, I add to gravies I make with roasts.",positive
Good quality yummy,positive
Love it flavor price great,positive
Product cap was broken when it arrived.,positive
"My Wife swears by these, they are super-tasty and best value by far in terms of quality and size.",positive
"Being on AIP protocol has been a tough journey but I'm making progress and getting creative in the kitchen again. Then this little jar of joy comes marching into my life. Praise the Chocolate Gods! I use it for frosting on aip brownies, roll it with a sliced banana into coconut wraps, or just plain spoon it out of the jar! It makes me happy! Thank you 4th & Heart for Chocti!",positive
I like being able to buy spearmint in bulk. Great price on my favorite gum.,positive
"I liked everything about this product. The k-cups are easy to use, the size of the package was more than adequate for my needs. Shipping was fast.",positive
"This is a great tonic, with none of that nasty High Fructose Corn Syrup. Great for mixed drinks, and not very expensive.",positive
I buy these as a healthy snack for my nephews and niece. My niece especially loves them and asks for them often. Yes they are pricey but cheaper online than at the gas station where I used to buy them. Wish they were available more places and in larger bags! Small quantity but large quality item!,positive
"Before moving to Washington from North Carolina, I used Moss' seafood breader all the time. Good flavor, not spicy like so many are these days. I haven't found a good substitute here in the Seattle area yet. Nice to see that Amazon might start selling it.",positive
"They came on time, they were the exact flavor I wanted just as advertised.",positive
"Been buying this brand for years, love it.",positive
Delicious ... great texture,positive
My ramen noodles smell and taste like their Japanese counterparts.,positive
I use this with an easy cheesecake pie recipe and it works great,positive
We have been using this flour at least one a week to make banana pancakes. The flavor is amazing and the bag size is so big for the price! highly recommend it.,positive
"[[VIDEOID:f5db5178b93b809f7d952b360bb9923b]] I’m a cooker in my home & definitely love trying spices to enhance my flavor of foods I seem to use this in everything lately because it just makes it smells good,even though no flavors involved the herbs are greatly improving the meal ,meats veggies & everything else edible if you can put salt on watermelon  which enhances the sweetness you can us this on fruit haven’t yet but I will. Thank you Tabatha Brown & congratulations Beautiful 🥰",positive
I love this brand! It is such a great value for how much you get!!,positive
[[VIDEOID:b41c8da63fa015f95f48c23d7c5fd0f4]] Fresh and a large amount for such a good price! I keep mine in the fridge and blend in my coffee grinder with dark seeds also to add to smoothies ect. There's alot of videos you can download for yummy flax seed recipes! Definitely will keep buying them....I love the slight hint of nut flavor with these!,positive
Great product and it came the next day.,positive
Perfect for a sweet snack. I am an adult and it's a little unseemly to suck on a lollipop. These are delicious.,positive
Bought them for my Brother-in-law and he really enjoyed them. My Brother-in-law has shared them with me and they are pretty good! My young nephew enjoy them as a snack ask well!,positive
"I bought this for my wedding. My whole family thought it was hilarious, the groom thought it a little sad. Like he was marrying the firetruck and not me. But everyone else thought this was hilarious and amazing.",positive
"Good Gluten free pasta is difficult to find. This brand is very good.As with any pasta, do not over cook it!",positive
"I was all excited to receive this product but it ended up being a waste of money . There are absolutely no flavors to these except the chalky taste of the protein powder. Save yourself the money and make cold  milky oatmeal at home. When I tried to return and get a refund,  I was refused one.",negative
"Están bastante buenas , a mis hijos les encantaron, los recomiendo",positive
Can’t get in my grocery store.,positive
"This is a full flavored, robust coffee that tasted just like a visit to Duncan Doughnuts!!  Very good!",positive
Very good gluten free mix to use in many ways! The pancake recipe is very delicious!,positive
Arrived in great shape and are a tasty light snack that makes it easy to control quantity.,positive
These pods have the best flavor of any of the half calf that I have tried and the only medium roast I could find. I like that they are committed to making all their products easily recyclable,positive
"Usually, these bars and very good, but the ones I got from this seller were stale and had a horrible taste to them, almost like they were rancid.  From now on, I'll get them from someone else.",negative
"Excellent quality! Smells & tastes delicious. Usually only a fan of sweetened coconut but these were amazing with nothing added. So fresh it was like eating it in paradise. Plus, because it's all natural, I can share it with my pets. The pieces are nice & thick which I love. They are surprisingly tender though. Highly recommend . . will buy this again 😀👍",positive
I think I'm hooked! The price is too high...but I love these as a little treat!,positive
Even nonlicorice people love this.,positive
"This is hands down the best of the meal kits Amazon has had. The beef is tasty, the bacon jam adds a whole new layer of delightful tastiness. The slaw AND the fries are legit. It is easy to cook and better than going out. My boyfriend and I used to get this all the time. I haven't seen it available in a really long time, and to be honest that is why I stopped buying the meal kits. Please bring this back.",positive
The product arrived open and 17 of the 20 lollipops were broken. I read the description before purchase and these are much smaller than depicted. I do not recommend this product.,negative
Me gusta debería ser más barato,positive
"I have been eating Turkish hazelnuts since my childhood, I grew up with it. I am telling you these nuts are fresh but tasteless. It has definitely zero flavor. This is not an exaggeration, just the simple truth.",negative
"I didn't get to taste the oatmeal as it arrived with a hole in the bag, large enough for the oatmeal to spill into the shipping box.  Wasted 12 dollars as it is not eligible for return.  Be careful with ordering this product.",negative
Tasty and filling.  Especially if you like coconut and almonds.  And are hungry.,positive
"CHOCOLATE FLAVOR GALORE! I am learning to cook new ways as I adapt to a low carb lifestyle. With these Cacao nibs, I got the chocoloate flavor I needed but stayed within range as I go through ketosis. Hallelujah.",positive
"Arrived promptly, no damage to product or package. Delicious!",positive
Great  product,positive
I loved all 40 were a different flavor. Would not mind duplicates either. I believe I got every one pictured. And my mystery was hazelnut. Not my favorite but its coffee that keeps me going.,positive
It had no smell and seemed to be old.  Very disappointed.,positive
"Wish they were cheaper, but love these bars",positive
"It taste ok but it is disgusting 🤮 be careful with young children because that can be a cause of chocking. The bubble gum is so hard, it is impossible to make bubbles. Smart advice do no waste your money.",negative
No taste.  Dissatisfied level. A 9 out of 10.,negative
"Secret Reward at night as a diabetic there are not many rewards like a simple good cup of hot cocoa. The cost and sugar free benefits are there and the taste is  much like ""Old-Fashion Cocoa""...use a heaping spoonful, enjoy ahhhh!",positive
"Love this oatmeal so much, just make sure to weigh out your portions!",positive
Family pack is actually very small.  Not worth the price.,negative
It's the closest you will ever get to homemade stock! A little goes a long way so remember you can always add but you can't take it out 💖,positive
If you like eating sponges then you might like this bread. Two of the loaf are going in the garbage. Going to look for a better alternative.,negative
"Used up quick, probably gonna have to get more some real grade A+ pepper",positive
Plastic container was broken and Sour Powers were all over the inside of the package box. I didn't want to take any chances eating these since they were not sealed correctly.,negative
My brothers favorite candy and these were a hit!  He was delighted so that made me very happy,positive
"I like this product (Pure Organic Stevia Powder) because it contains only one ingredient, organic stevia powder. I am using it as a sugar substitute in some cake/muffin recipes and lemonade.",positive
Purchased for my mom and she loves it.  I actually started drinking it myself.  Something a little different than coffee.  We are almost ready to order some more soon!,positive
My 2 yr old boy cannot get enough of these. I bought them because it is all natural ingredients and the variety that came. As soon as I get low I'm definitely going to stock up on them again.,positive
